Removed Pin From Net: NetName=VCCNRF Pin=C20-2
Removed Pin From Net: NetName=VCCNRF Pin=C21-2
Removed Pin From Net: NetName=+5 Pin=C26-2
Removed Pin From Net: NetName=GND Pin=C34-1
Removed Pin From Net: NetName=GND Pin=D5-2
Removed Pin From Net: NetName=GND Pin=D6-A
Removed Pin From Net: NetName=GND Pin=D7-2
Removed Pin From Net: NetName=+5 Pin=R25-2
Removed Pin From Net: NetName=GND Pin=R27-1
Removed Pin From Net: NetName=GND Pin=U3-1
Removed Pin From Net: NetName=VCCNRF Pin=U3-2
Removed Pin From Net: NetName=+5 Pin=U3-3
Removed Pin From Net: NetName=VCCNRF Pin=U3-4
Removed Pin From Net: NetName=GND Pin=U4-2
Removed Pin From Net: NetName=+5 Pin=U4-5
Removed Member From Class: ClassName=Power_2 Member=C34
Removed Member From Class: ClassName=Power_2 Member=D4
Removed Member From Class: ClassName=Power_2 Member=D5
Removed Member From Class: ClassName=Power_2 Member=D6
Removed Member From Class: ClassName=Power_2 Member=D7
Removed Member From Class: ClassName=Power_2 Member=L2
Removed Member From Class: ClassName=Power_2 Member=R25
Removed Member From Class: ClassName=Power_2 Member=R26
Removed Member From Class: ClassName=Power_2 Member=R27
Removed Member From Class: ClassName=Power_2 Member=U3
Removed Member From Class: ClassName=Power_2 Member=U4
Change Component Footprint: Designator=C15 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=C20 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=C21 Old Footprint=CAP 0603_1608 New Footprint=CAP 0805_2012
Change Component Footprint: Designator=D6 Old Footprint=DIOM7959X265N New Footprint=SOD-123
Change Component Footprint: Designator=D7 Old Footprint=LED 0402_1005 BLUE New Footprint=SOD-123
Change Component Footprint: Designator=D5 Old Footprint=LED 0402_1005 YELLOW New Footprint=SOD-123
Change Component Footprint: Designator=D4 Old Footprint=SOD323 New Footprint=SOD-123
Change Component Footprint: Designator=R24 Old Footprint=tro smd 0603 New Footprint=RES 0603_1608
Change Component Comment : Designator=R24 Old Comment=1k New Comment=680 Ohms
Change Component Comment : Designator=C20 Old Comment=4.7 µF New Comment=10 µF
Change Component Comment : Designator=C16 Old Comment=10 µF New Comment=0.1µF
Change Component Comment : Designator=R23 Old Comment=31.6 kOhms New Comment=680 Ohms
Change Component Comment : Designator=C22 Old Comment=10000 pF New Comment=0.1µF
Change Component Comment : Designator=C15 Old Comment=10000 pF New Comment=10 µF
Change Component Comment : Designator=D4 Old Comment=BAT165E6327HTSA1 New Comment=1N5819HW-7-F
Change Component Comment : Designator=D7 Old Comment=Blue New Comment=1N5819HW-7-F
Change Component Comment : Designator=D6 Old Comment=SS34 New Comment=1N5819HW-7-F
Change Component Comment : Designator=D5 Old Comment=Yellow New Comment=1N5819HW-7-F
Change component parameters: Designator = "R23" ("R23"); Footprint = "RES 0603_1608"; UniqueID = "\KEBQRQXN" ("\KEBQRQXN")
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-7611-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X6S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.057" (1.45mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C20" ("C20"); Footprint = "CAP 0603_1608"; UniqueID = "\UZQUOZGD" ("\UZQUOZGD")
Change component parameters (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf?ref_disty=digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/tdk-corporation/C2012X6S1C106K125AC/2733046"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Low ESL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "2/9/2024 8:16:08 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "TDK Corporation"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, MLCC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "C2012X6S1C106K125AC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "partid"; Value = "2995"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "price"; Value = "0.06"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "series"; Value = "C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-7611-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "X6S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness (Max)"; Value = "0.057" (1.45mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Rated"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters: Designator = "D6" ("D6"); Footprint = "DIOM7959X265N"; UniqueID = "\DBRIWQXY" ("\DBRIWQXY")
Change component parameters (AddParameter): Name = "Capacitance @ Vr, F"; Value = "60pF @ 4V, 1MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/ds30217.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/diodes-incorporated/1N5819HW-7-F/814970"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "1 mA @ 40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:54:46 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature - Junction"; Value = "-65°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "SOD-123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "1N5819HW-7-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "2212"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.05"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Speed"; Value = "Fast Recovery =< 500ns, > 200mA (Io)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOD-123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1N5819HW-FDICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "450 mV @ 1 A"; VariantName = "[No Variations]"
Change component parameters: Designator = "D5" ("D5"); Footprint = "LED 0402_1005 YELLOW"; UniqueID = "\UECLUZWL" ("\UECLUZWL")
Change component parameters (AddParameter): Name = "Capacitance @ Vr, F"; Value = "60pF @ 4V, 1MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/ds30217.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/diodes-incorporated/1N5819HW-7-F/814970"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "1 mA @ 40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:54:46 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature - Junction"; Value = "-65°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "SOD-123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "1N5819HW-7-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "2212"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.05"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Speed"; Value = "Fast Recovery =< 500ns, > 200mA (Io)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOD-123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1N5819HW-FDICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "450 mV @ 1 A"; VariantName = "[No Variations]"
Change component parameters: Designator = "R24" ("R24"); Footprint = "tro smd 0603"; UniqueID = "\XRSGTBUG" ("\XRSGTBUG")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_11.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/yageo/RT0603CRD07680RL/YAG4792CT-ND/6616948"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thin Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "2/9/2024 8:42:46 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RT0603CRD07680RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "17637"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power (Watts)"; Value = "0.1W, 1/10W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.07"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "680 Ohms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "RT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063" L x 0.031" W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "YAG4792CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±25ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±0.25%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "680 Ohms"; VariantName = "[No Variations]"
Change component parameters: Designator = "D7" ("D7"); Footprint = "LED 0402_1005 BLUE"; UniqueID = "\HASUJEPA" ("\HASUJEPA")
Change component parameters (AddParameter): Name = "Capacitance @ Vr, F"; Value = "60pF @ 4V, 1MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/ds30217.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/diodes-incorporated/1N5819HW-7-F/814970"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "1 mA @ 40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:54:46 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature - Junction"; Value = "-65°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "SOD-123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "1N5819HW-7-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "2212"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.05"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Speed"; Value = "Fast Recovery =< 500ns, > 200mA (Io)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOD-123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1N5819HW-FDICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "450 mV @ 1 A"; VariantName = "[No Variations]"
Added Component: Designator=BT1(DE PIN 18650 X2)
Add component (AddParameter): Name = "Ma_Hang"; Value = "MH010812"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ten"; Value = "H?p Ð? Pin 18650 Hàn M?ch DP 18650-HM-02"; VariantName = "[No Variations]"
Added Component: Designator=D8(SOD-123)
Add component (AddParameter): Name = "Capacitance @ Vr, F"; Value = "60pF @ 4V, 1MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/ds30217.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/diodes-incorporated/1N5819HW-7-F/814970"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "1 mA @ 40 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:54:46 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature - Junction"; Value = "-65°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "SOD-123"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "1N5819HW-7-F"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "2212"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Speed"; Value = "Fast Recovery =< 500ns, > 200mA (Io)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "SOD-123"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "1N5819HW-FDICT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "450 mV @ 1 A"; VariantName = "[No Variations]"
Added Component: Designator=D9(SOD-123)
Add component (AddParameter): Name = "Capacitance @ Vr, F"; Value = "60pF @ 4V, 1MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/ds30217.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/diodes-incorporated/1N5819HW-7-F/814970"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "1 mA @ 40 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:54:46 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature - Junction"; Value = "-65°C ~ 125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "SOD-123"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "1N5819HW-7-F"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "2212"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Speed"; Value = "Fast Recovery =< 500ns, > 200mA (Io)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "SOD-123"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "1N5819HW-FDICT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "450 mV @ 1 A"; VariantName = "[No Variations]"
Added Component: Designator=D10(LED 0603_1608 YELLOW)
Add component (AddParameter): Name = "Color"; Value = "Yellow"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.inolux-corp.com/datasheet/SMDLED/Mono%20Color%20Top%20View/IN-S63AT%20Series_V1.1.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/inolux/IN-S63AT5Y/7604932"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Test"; Value = "5mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height (Max)"; Value = "0.40mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 8:01:09 PM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Color"; Value = "Clear"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Size"; Value = "1.15mm x 0.80mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Style"; Value = "Rectangle with Flat Top"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Transparency"; Value = "Clear"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Inolux"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Millicandela Rating"; Value = "35mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
